PLAYER_ID,FG_PCT,FG3_PCT
1642920,0.466,0.408
1642886,0.417,0.433
1642851,0.475,0.425
1627739,0.476,0.374
1631200,0.467,0.279
204001,0.446,0.338
203937,0.53,0.364
1642271,0.492,0.325
1628398,0.492,0.347
200768,0.16,0.16
1642273,0.438,0.381
1643018,0.402,0.394
1630163,0.407,0.368
1642950,0.468,0.105
1629013,0.437,0.392
1626204,0.419,0.333
1628374,0.477,0.355
1643133,0.6,0.0
2544,0.515,0.317
1641778,0.388,0.345
1631159,0.553,0.323
1642862,0.4,0.4
1630322,0.375,0.342
1628366,0.301,0.272
1631351,0.333,0.283
1629652,0.385,0.344
1629029,0.476,0.366
1630568,0.577,0.433
1628379,0.533,0.478
1628436,0.643,0.0
1631247,0.25,0.063
1630644,0.39,0.233
1641869,0.485,0.435
1631103,0.473,0.378
1642502,0.444,0.25
1628370,0.438,0.395
1630699,0.434,0.34
1631204,0.39,0.415
203935,0.395,0.331
1641813,0.462,0.5
1631109,0.644,1.0
1628365,0.182,0.0
1628963,0.618,0.462
203486,0.786,0.0
1641824,0.463,0.349
1629680,0.433,0.398
1631108,0.441,0.404
1642917,0.25,0.25
1629622,0.443,0.402
1628467,0.452,0.231
1642875,0.571,0.324
1642877,0.385,0.259
1630695,0.515,0.423
1629008,0.463,0.363
1628969,0.49,0.371
201144,0.335,0.337
1628970,0.46,0.333
1642939,0.364,0.303
1630540,0.423,0.413
1629011,0.723,0.0
1628964,0.455,0.0
1642885,0.423,0.369
1628420,0.35,0.25
1629021,0.426,0.314
1630541,0.44,0.401
1631338,0.545,0.2
1631243,0.452,0.308
1630619,0.574,0.0
1631217,0.631,0.5
1626167,0.44,0.383
1642066,0.48,0.406
1642368,0.25,0.0
1641772,0.478,0.235
1630230,0.51,0.291
1631466,0.489,0.433
1629675,0.456,0.362
1629674,0.653,0.125
1629651,0.571,0.158
1630208,0.512,0.278
1641733,0.435,0.395
1629638,0.459,0.399
201587,0.403,0.404
1628502,0.326,0.125
203999,0.569,0.38
1631107,0.366,0.269
